Condition	Sex	Age	Location	Measure	Unit	Forecast Scenario	Year	Value	Lower	Upper	Data Suite	DA
Multiple sclerosis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	2.8221055	2.2396927	3.5122684	GBD	Neurology
Non-melanoma skin cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	22.081098	18.090694	26.41224	GBD	Other Onco Hem
Ovarian cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	12.655157	8.74424	17.165495	GBD	Oncology
Testicular cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	3.8124992	2.920417	4.9296683	GBD	Oncology
Kidney cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	24.972888	20.281952	30.397007	GBD	Oncology
Rabies	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	0.0016930962	0.0008484117	0.0027716471	GBD	Infectious Diseases
Motor neuron disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	2.4713057	2.004258	3.0043802	GBD	Neurology
Other neurological disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	0.25182997	0.16186727	0.3451853	GBD	Neurology
Intestinal nematode infections	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	4280.6756	2799.5933	6283.1186	GBD	Infectious Diseases
Bladder cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	41.613358	32.59378	53.35971	GBD	Oncology
Brain and central nervous system cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	22.015213	16.815262	28.383688	GBD	Oncology
Food-borne trematodiases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	2356.8166	2081.5274	2722.6958	GBD	Infectious Diseases
Thyroid cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	27.810934	21.889592	36.124326	GBD	Oncology
Mesothelioma	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	0.26553298	0.2133207	0.3251718	GBD	Oncology
Other neglected tropical diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	368.22795	353.12586	381.31701	GBD	Infectious Diseases
Hodgkin lymphoma	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1.7059378	0.9502945	2.2874254	GBD	Oncology
Age-related and other hearing loss	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	33251.277	31238.565	35380.992	GBD	Other
Non-Hodgkin lymphoma	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	44.201294	33.559653	55.76092	GBD	Oncology
Maternal disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	35.316125	26.226733	45.58835	GBD	Other
Multiple myeloma	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	3.452489	2.11213	4.5233828	GBD	Oncology
Neonatal disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	922.1499	870.9576	980.335	GBD	Other
Leukemia	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	39.292022	26.68254	49.584993	GBD	Oncology
Oral disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	42305.02	38830.817	45819.93	GBD	Other
Protein-energy malnutrition	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1552.8423	1309.8334	1850.39	GBD	Other
Other malignant neoplasms	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	37.796024	29.53003	48.224593	GBD	Other Onco Hem
Iodine deficiency	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1921.3295	1517.8836	2378.0633	GBD	Other
Other neoplasms	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1080.5829	920.5155	1268.331	GBD	Other Onco Hem
Road injuries	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	2723.8034	2505.153	2926.8239	GBD	Other
Vitamin A deficiency	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1536.2226	1332.2798	1794.83	GBD	Other
Rheumatic heart disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	633.8946	515.31354	765.88686	GBD	Cardiovascular
Dietary iron deficiency	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	5529.2774	5304.015	5713.7467	GBD	Other
Ischemic heart disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	4593.8764	3912.1103	5539.055	GBD	Cardiovascular
Other transport injuries	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	209.98407	177.42903	259.54207	GBD	Other
Sexually transmitted infections excluding HIV	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	16543.455	14544.857	18783.031	GBD	Infectious Diseases
Stroke	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1899.013	1739.7065	2061.4795	GBD	Cardiovascular
Falls	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	7950.1405	6903.06	9081.582	GBD	Other
Drowning	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	46.232337	39.943837	53.56296	GBD	Other
Fire, heat, and hot substances	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	946.7389	771.56615	1163.5062	GBD	Other
Peripheral artery disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	2052.0967	1756.1255	2388.3168	GBD	Cardiovascular
Poisonings	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	42.42144	36.318792	48.522628	GBD	Other
Endocarditis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	2.2210372	1.8974397	2.5569816	GBD	Cardiovascular
Exposure to mechanical forces	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1557.6505	1375.4313	1775.56	GBD	Other
Adverse effects of medical treatment	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1.9596124	1.4444713	2.57315	GBD	Other
Animal contact	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	159.78793	137.38851	189.90716	GBD	Other
Foreign body	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	298.52216	232.78417	385.51046	GBD	Other
Self-harm	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	205.14093	177.85926	234.2927	GBD	Other
Interpersonal violence	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	6249.3235	5561.8715	6891.548	GBD	Other
Exposure to forces of nature	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	87.509723	57.01183	133.67501	GBD	Other
Environmental heat and cold exposure	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	130.08699	111.19442	153.13395	GBD	Other
Executions and police conflict	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	107.09686	42.126505	177.23122	GBD	Other
Electrocution	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	622.8768	524.72306	736.6619	GBD	Other
Conflict and terrorism	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	9.941748	6.619264	14.3061	GBD	Other
Typhoid and paratyphoid	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	0.39147562	0.31159561	0.48866395	GBD	Other
Invasive Non-typhoidal Salmonella (iNTS)	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	0.009288778	0.0053064387	0.014287932	GBD	Infectious Diseases
Headache disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	29980.078	27659.93	32478.276	GBD	Other
Bacterial skin diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	129.8601	126.11113	133.67719	GBD	Infectious Diseases
Blindness and vision loss	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	22153.856	17173.372	28660.01	GBD	Ophthalmology
Upper digestive system diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	6724.1676	5918.413	7495.075	GBD	Other
Hemoglobinopathies and hemolytic anemias	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	25844.6	24661.654	27365.354	GBD	Other Onco Hem
Endocrine, metabolic, blood, and immune disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	11337.887	8958.9834	14348.876	GBD	Metabolism
Rheumatoid arthritis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	343.93722	297.44487	395.83575	GBD	Immunology
Osteoarthritis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	11004.1514	9675.327	12319.547	GBD	Other
Low back pain	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	6636.004	5778.2333	7501.167	GBD	Other
Neck pain	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	3429.5518	2665.839	4253.486	GBD	Other
Gout	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1206.8684	948.506	1537.4446	GBD	Other
Other musculoskeletal disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	6027.3606	5157.5016	7021.787	GBD	Other
Schizophrenia	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	370.81558	323.16383	420.72493	GBD	Other
Congenital birth defects	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	579.91003	519.8718	649.3223	GBD	Other
Alcohol use disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1318.1495	1127.2696	1545.60665	GBD	Other
Drug use disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	546.53874	473.11108	646.3677	GBD	Other
Depressive disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	3538.0766	3157.4976	3957.823	GBD	Other
Bipolar disorder	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	200.35158	169.76269	234.3622	GBD	Other
Anxiety disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	3758.595	3224.9253	4363.8445	GBD	Other
Eating disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	114.7074	84.68044	153.40624	GBD	Other
Autism spectrum disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	644.08565	536.92097	767.4734	GBD	Other
Attention-deficit/hyperactivity disorder	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1738.5112	1309.7914	2326.3883	GBD	Other
Conduct disorder	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	322.86989	232.35267	415.70775	GBD	Other
Dermatitis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	2987.1078	2652.087	3407.063	GBD	Immunology
Idiopathic developmental intellectual disability	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	252.31712	63.24976	458.72615	GBD	Other
Psoriasis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	578.0022	557.18133	598.1125	GBD	Immunology
Scabies	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	4467.18	3978.173	4989.3457	GBD	Infectious Diseases
Other mental disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1812.7793	1426.4252	2260.4853	GBD	Other
Diabetes mellitus	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	7696.407	7084.708	8356.611	GBD	Metabolism
Fungal skin diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	4928.0502	4445.6713	5476.3507	GBD	Infectious Diseases
Acute glomerulonephritis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	0.510028	0.43537325	0.5954478	GBD	Renal
Viral skin diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1868.0766	1812.7546	1928.668	GBD	Infectious Diseases
Chronic kidney disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	8425.48	7781.909	9092.204	GBD	Renal
Acne vulgaris	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	2809.2979	2563.4328	3084.5301	GBD	Other
Urinary diseases and male infertility	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	2601.304	1985.2301	3389.7698	GBD	Fertility
Alopecia areata	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	244.48645	236.2567	253.35564	GBD	Immunology
Gynecological diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	16482.31	14688.593	18281.831	GBD	Fertility
Pruritus	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1394.0516	1230.3916	1568.7402	GBD	Other
Urticaria	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	691.6937	611.77746	769.8211	GBD	Immunology
Decubitus ulcer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	7.5559445	6.803474	8.425365	GBD	Other
Other skin and subcutaneous diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	9086.591	8823.185	9344.5376	GBD	Immunology
Other sense organ diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	2663.8381	2149.0201	3408.151	GBD	Other
Eye cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	2.4309007	1.3039958	3.223202	GBD	Other Onco Hem
Malignant neoplasm of bone and articular cartilage	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	11.848027	7.250608	15.841919	GBD	Other Onco Hem
Neuroblastoma and other peripheral nervous cell tumors	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	0.47611497	0.33623785	0.61492055	GBD	Other Onco Hem
Other unintentional injuries	Both	All Ages	China	Prevalence	Rate (per 100,000)	Past estimate	2022	1140.7015	1000.3133	1275.3622	GBD	Other
Tuberculosis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	33974.9355116638	30903.4467572104	37234.7495019556	GBD	Infectious Diseases
HIV/AIDS	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	37.3215008106947	19.7883550738927	67.5080294965372	GBD	Infectious Diseases
Diarrheal diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	70.9422684598017	59.9292489013853	83.7070051285738	GBD	Other
Lower respiratory infections	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	82.2402262844921	76.1275807222558	88.4873672777071	GBD	Infectious Diseases
Upper respiratory infections	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	1673.56678159309	1475.25928653906	1886.87503304155	GBD	Infectious Diseases
Otitis media	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	1176.6489132036	1006.115257165	1381.26430194769	GBD	Other
Meningitis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	16.7905539754307	13.0466798773822	22.1991584874149	GBD	Infectious Diseases
Encephalitis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	63.2723216604248	44.4770475805912	81.5420896219939	GBD	Other
Diphtheria	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	0.0003694569085196	0.0002844539442209	0.000478574184707	GBD	Infectious Diseases
Whooping cough	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	5.47060446443678	4.10594729569606	7.12185315602716	GBD	Infectious Diseases
Tetanus	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	0.174665460594627	0.110040348960906	0.258376315217639	GBD	Infectious Diseases
Measles	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	0.0036983592660834	0.0035327062632475	0.0038737449389271	GBD	Infectious Diseases
Varicella and herpes zoster	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	78.243527744228	63.1523831192321	96.3559238871648	GBD	Infectious Diseases
Leishmaniasis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	1.05668281979201	0.435824058160799	2.6104520115617	GBD	Infectious Diseases
Schistosomiasis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	786.786956055125	616.509916251479	1032.49762515158	GBD	Infectious Diseases
Cysticercosis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	48.9658391646656	33.0648693507169	68.6566251423478	GBD	Infectious Diseases
Cystic echinococcosis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	8.04821754910508	6.06686252867054	10.3036369545294	GBD	Infectious Diseases
Trachoma	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	0.841668869080767	0.564259170702966	1.20594285151553	GBD	Infectious Diseases
Dengue	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	0.118396202678124	0.0296778032923423	0.377208606672797	GBD	Infectious Diseases
Rabies	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	0.0015454767231341	0.0007618738450915	0.0024168489905409	GBD	Infectious Diseases
Intestinal nematode infections	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	4213.96921982261	2720.36210670557	6118.03873436407	GBD	Infectious Diseases
Food-borne trematodiases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	2284.92371201233	2003.83272190028	2639.25286357914	GBD	Infectious Diseases
Other neglected tropical diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	342.662092384951	328.827512654729	354.729446325667	GBD	Infectious Diseases
Maternal disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	32.0483266978573	23.7508962723949	42.1143757988213	GBD	Other
Neonatal disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	944.260553314846	895.530692708305	1001.00227490754	GBD	Other
Protein-energy malnutrition	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	1525.43904887885	1282.16092141233	1824.11900849565	GBD	Other
Iodine deficiency	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	1892.33437101808	1483.94948468483	2341.45023569423	GBD	Other
Vitamin A deficiency	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	1476.0375392464	1282.01989807962	1714.8590386622	GBD	Other
Dietary iron deficiency	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	5500.05980862955	5260.81880756124	5687.65977507932	GBD	Other
Sexually transmitted infections excluding HIV	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2023	16589.9215488131	14569.7563490785	18740.3587058622	GBD	Infectious Diseases
